Nutrient level,Growth rate,$\theta_1$,$\theta_2$,$p = \frac{\theta_2}{\theta_1}$,$\sum \theta$,Approx. $\sum \theta$
50000000.000000,23.561126,0.000069,0.999931,14539.467986,1.000000,1.000000
50351302.719175,23.561138,0.000069,0.999931,14590.141128,1.000000,1.000000
50705073.710360,23.561149,0.000068,0.999932,14645.717149,1.000000,1.000000
51061330.315768,23.561160,0.000068,0.999932,14693.800804,1.000000,1.000000
51420089.999461,23.561171,0.000068,0.999932,14747.497066,1.000000,1.000000
51781370.348201,23.561183,0.000068,0.999932,14798.323271,1.000000,1.000000
52145189.072320,23.561194,0.000067,0.999933,14848.642976,1.000000,1.000000
52511564.006580,23.561205,0.000067,0.999933,14901.628101,1.000000,1.000000
52880513.111053,23.561216,0.000067,0.999933,14954.846415,1.000000,1.000000
53252054.471998,23.561227,0.000067,0.999933,15004.914213,1.000000,1.000000
53626206.302751,23.561238,0.000066,0.999934,15060.103736,1.000000,1.000000
54002986.944615,23.561249,0.000066,0.999934,15118.650109,1.000000,1.000000
54382414.867760,23.561260,0.000066,0.999934,15165.679312,1.000000,1.000000
54764508.672126,23.561271,0.000066,0.999934,15221.394769,1.000000,1.000000
55149287.088342,23.561281,0.000065,0.999935,15272.772733,1.000000,1.000000
55536768.978636,23.561292,0.000065,0.999935,15329.490538,1.000000,1.000000
55926973.337764,23.561303,0.000065,0.999935,15379.353384,1.000000,1.000000
56319919.293940,23.561314,0.000065,0.999935,15438.060562,1.000000,1.000000
56715626.109773,23.561324,0.000065,0.999935,15491.403200,1.000000,1.000000
57114113.183215,23.561335,0.000064,0.999936,15542.030626,1.000000,1.000000
57515400.048505,23.561346,0.000064,0.999936,15595.863577,1.000000,1.000000
57919506.377135,23.561356,0.000064,0.999936,15655.674368,1.000000,1.000000
58326451.978806,23.561367,0.000064,0.999936,15711.468046,1.000000,1.000000
58736256.802405,23.561377,0.000063,0.999937,15769.355273,1.000000,1.000000
59148940.936982,23.561388,0.000063,0.999937,15822.523558,1.000000,1.000000
